game,score, train_time, len_buff, timestamp
1,0.0,0.2283,273
2,0.0,0.1994,502
3,-3.0,0.2131,755
4,1.0,0.2372,1040
5,-1.0,0.2022,1265
6,-1.0,9.1678,1510
game,score, train_time, len_buff, timestamp
1,-1.0,0.1933,199
2,-5.0,0.1698,368
3,-1.0,0.1966,597
4,-5.0,0.1705,762
5,-3.0,0.1595,903
6,3.0,9.1494,1201
7,1.0,10.079,1551
8,-3.0,0.9298,1768
9,-4.0,0.9977,1965
10,-2.0,1.0271,2178
11,-4.0,1.0751,2419
12,0.0,1.4421,2744
13,2.0,10.3058,3093
14,-3.0,1.3083,3318
15,-4.0,5.2584,3503
16,-4.0,5.5696,3678
17,-1.0,1.7142,3959
18,-1.0,6.6785,4204
19,-2.0,0.4025,4421
20,0.0,9.6298,4733
21,1.0,10.9641,5086
22,-2.0,0.3811,5327
23,0.0,7.3026,5548
24,0.0,8.0198,5799
25,-4.0,3.849,5936
26,-1.0,7.1395,6169
27,-4.0,7.2178,6403
28,0.0,7.6813,6692
29,1.0,8.8855,6976
30,-2.0,4.4802,7149
31,-3.0,5.4772,7326
32,1.0,10.4925,7659
33,-4.0,5.3247,7860
34,-1.0,8.0806,8121
35,1.0,6.9591,8328
36,0.0,1.6934,8541
37,-2.0,7.6947,8779
38,-2.0,7.378,9002
39,-1.0,10.3918,9319
40,0.0,10.8448,9643
41,-2.0,7.5662,9912
42,-1.0,7.102,10127
43,-3.0,1.2718,10276
44,-1.0,7.5269,10503
45,-1.0,8.3555,10745
46,-1.0,8.6758,11050
47,-2.0,6.4407,11279
48,-3.0,1.5921,11476
49,-1.0,0.3503,11745
game,score, train_time, len_buff, timestamp
1,-2.0,0.3414,224
2,-2.0,0.2852,409
3,0.0,0.3556,686
4,0.0,0.3147,906
5,-1.0,0.1633,934
game,score, train_time, len_buff, timestamp
1,0.0,0.4404,325
2,-1.0,0.3592,594
3,-1.0,0.3603,871
4,0.0,0.9562,1093
5,-3.0,0.2956,1290
6,1.0,15.0507,1599
7,-2.0,3.1789,1844
8,2.0,0.6255,2153
9,-4.0,10.1889,2352
game,score, train_time, len_buff, timestamp
1,0.0,0.151,8
2,0.0,0.1772,44
3,0.0,0.1524,56
4,0.0,0.1475,64
5,0.0,0.148,72
6,0.0,2.0238,76
7,0.0,0.6646,84
8,0.0,0.2239,88
9,0.0,1.6847,100
game,score, train_time, len_buff, timestamp
1,0,0.1544,0
2,0,0.1433,0
3,0,0.1385,0
4,0,0.1388,0
5,0,0.1399,0
game,score, train_time, len_buff, timestamp
